id,age,job,marital,education,balance,loan,contact,month,campaign,deposit
cus_0,58,management,married,tertiary,2143,no,other,may,1,no
cus_1,44,technician,single,secondary,29,no,other,may,1,no
cus_2,33,entrepreneur,married,secondary,2,yes,other,may,1,no
cus_3,47,blue-collar,married,unknown,1506,no,other,may,1,no
cus_4,33,unknown,single,unknown,1,no,other,may,1,no
cus_5,35,management,married,tertiary,231,no,other,may,1,no
cus_6,28,management,single,tertiary,447,yes,other,may,1,no
cus_7,42,entrepreneur,divorced,tertiary,2,no,other,may,1,no
cus_8,58,retired,married,primary,121,no,other,may,1,no
cus_9,43,technician,single,secondary,593,no,other,may,1,no
cus_10,41,admin.,divorced,secondary,270,no,other,may,1,no
cus_11,29,admin.,single,secondary,390,no,other,may,1,no
cus_12,53,technician,married,secondary,6,no,other,may,1,no
cus_13,58,technician,married,unknown,71,no,other,may,1,no
cus_14,57,services,married,secondary,162,no,other,may,1,no
cus_15,51,retired,married,primary,229,no,other,may,1,no
cus_16,45,admin.,single,unknown,13,no,other,may,1,no
cus_17,57,blue-collar,married,primary,52,no,other,may,1,no
cus_18,60,retired,married,primary,60,no,other,may,1,no
cus_19,33,services,married,secondary,0,no,other,may,1,no
cus_20,28,blue-collar,married,secondary,723,yes,other,may,1,no
cus_21,56,management,married,tertiary,779,no,other,may,1,no
cus_22,32,blue-collar,single,primary,23,yes,other,may,1,no
cus_23,25,services,married,secondary,50,no,other,may,1,no
cus_24,40,retired,married,primary,0,yes,other,may,1,no
cus_25,44,admin.,married,secondary,-372,no,other,may,1,no
cus_26,39,management,single,tertiary,255,no,other,may,1,no
cus_27,52,entrepreneur,married,secondary,113,yes,other,may,1,no
cus_28,46,management,single,secondary,-246,no,other,may,2,no
cus_29,36,technician,single,secondary,265,yes,other,may,1,no
cus_30,57,technician,married,secondary,839,yes,other,may,1,no
cus_31,49,management,married,tertiary,378,no,other,may,1,no
cus_32,60,admin.,married,secondary,39,yes,other,may,1,no
cus_33,59,blue-collar,married,secondary,0,no,other,may,1,no
cus_34,51,management,married,tertiary,10635,no,other,may,1,no
cus_35,57,technician,divorced,secondary,63,no,other,may,1,no
cus_36,25,blue-collar,married,secondary,-7,no,other,may,1,no
cus_37,53,technician,married,secondary,-3,no,other,may,1,no
cus_38,36,admin.,divorced,secondary,506,no,other,may,1,no
cus_39,37,admin.,single,secondary,0,no,other,may,1,no
cus_40,44,services,divorced,secondary,2586,no,other,may,1,no
cus_41,50,management,married,secondary,49,no,other,may,2,no
cus_42,60,blue-collar,married,unknown,104,no,other,may,1,no
cus_43,54,retired,married,secondary,529,no,other,may,1,no
cus_44,58,retired,married,unknown,96,no,other,may,1,no
cus_45,36,admin.,single,primary,-171,no,other,may,1,no
cus_46,58,self-employed,married,tertiary,-364,no,other,may,1,no
cus_47,44,technician,married,secondary,0,no,other,may,2,no
cus_48,55,technician,divorced,secondary,0,no,other,may,1,no
cus_49,29,management,single,tertiary,0,no,other,may,1,no
cus_50,54,blue-collar,married,secondary,1291,no,other,may,1,no
cus_51,48,management,divorced,tertiary,-244,no,other,may,1,no
cus_52,32,management,married,tertiary,0,no,other,may,1,no
cus_53,42,admin.,single,secondary,-76,no,other,may,1,no
cus_54,24,technician,single,secondary,-103,yes,other,may,1,no
cus_55,38,entrepreneur,single,tertiary,243,yes,other,may,1,no
cus_56,38,management,single,tertiary,424,no,other,may,1,no
cus_57,47,blue-collar,married,unknown,306,no,other,may,1,no
cus_58,40,blue-collar,single,unknown,24,no,other,may,1,no
cus_59,46,services,married,primary,179,no,other,may,1,no
cus_60,32,admin.,married,tertiary,0,no,other,may,1,no
cus_61,53,technician,divorced,secondary,989,no,other,may,1,no
cus_62,57,blue-collar,married,primary,249,no,other,may,1,no
cus_63,33,services,married,secondary,790,no,other,may,1,no
cus_64,49,blue-collar,married,unknown,154,no,other,may,1,no
cus_65,51,management,married,tertiary,6530,no,other,may,1,no
cus_66,60,retired,married,tertiary,100,no,other,may,1,no
cus_67,59,management,divorced,tertiary,59,no,other,may,1,no
cus_68,55,technician,married,secondary,1205,no,other,may,2,no
cus_69,35,blue-collar,single,secondary,12223,yes,other,may,1,no
cus_70,57,blue-collar,married,secondary,5935,yes,other,may,1,no
cus_71,31,services,married,secondary,25,yes,other,may,1,no
cus_72,54,management,married,secondary,282,yes,other,may,1,no
cus_73,55,blue-collar,married,primary,23,no,other,may,1,no
cus_74,43,technician,married,secondary,1937,no,other,may,1,no
cus_75,53,technician,married,secondary,384,no,other,may,1,no
cus_76,44,blue-collar,married,secondary,582,yes,other,may,1,no
cus_77,55,services,divorced,secondary,91,no,other,may,1,no
cus_78,49,services,divorced,secondary,0,yes,other,may,1,no
cus_79,55,services,divorced,secondary,1,no,other,may,1,no
cus_80,45,admin.,single,secondary,206,no,other,may,1,no
cus_81,47,services,divorced,secondary,164,no,other,may,1,no
cus_82,42,technician,single,secondary,690,no,other,may,1,no
cus_83,59,admin.,married,secondary,2343,no,other,may,1,yes
cus_84,46,self-employed,married,tertiary,137,yes,other,may,1,no
cus_85,51,blue-collar,married,primary,173,no,other,may,2,no
cus_86,56,admin.,married,secondary,45,no,other,may,1,yes
cus_87,41,technician,married,secondary,1270,no,other,may,1,yes
cus_88,46,management,divorced,secondary,16,yes,other,may,2,no
cus_89,57,retired,married,secondary,486,no,other,may,2,no
cus_90,42,management,single,secondary,50,no,other,may,1,no
cus_91,30,technician,married,secondary,152,yes,other,may,2,no
cus_92,60,admin.,married,secondary,290,no,other,may,1,no
cus_93,60,blue-collar,married,unknown,54,no,other,may,1,no
cus_94,57,entrepreneur,divorced,secondary,-37,no,other,may,1,no
cus_95,36,management,married,tertiary,101,yes,other,may,1,no
cus_96,55,blue-collar,married,secondary,383,no,other,may,1,no
cus_97,60,retired,married,tertiary,81,no,other,may,1,no
cus_98,39,technician,married,secondary,0,no,other,may,1,no
cus_99,46,management,married,tertiary,229,no,other,may,1,no
cus_100,44,blue-collar,married,secondary,-674,no,other,may,1,no
cus_101,53,blue-collar,married,primary,90,no,other,may,1,no
cus_102,52,blue-collar,married,primary,128,no,other,may,1,no
cus_103,59,blue-collar,married,primary,179,no,other,may,3,no
cus_104,27,technician,single,tertiary,0,no,other,may,1,no
cus_105,44,blue-collar,married,secondary,54,no,other,may,1,no
cus_106,47,technician,married,tertiary,151,no,other,may,1,no
cus_107,34,admin.,married,secondary,61,yes,other,may,1,no
cus_108,59,retired,single,secondary,30,no,other,may,1,no
cus_109,45,management,married,tertiary,523,no,other,may,2,no
cus_110,29,services,divorced,secondary,31,no,other,may,1,no
cus_111,46,technician,divorced,secondary,79,no,other,may,1,no
cus_112,56,self-employed,married,primary,-34,yes,other,may,2,no
cus_113,36,blue-collar,married,primary,448,no,other,may,1,no
cus_114,59,retired,divorced,primary,81,no,other,may,1,no
cus_115,44,blue-collar,married,secondary,144,no,other,may,2,no
cus_116,41,admin.,married,secondary,351,no,other,may,1,no
cus_117,33,management,single,tertiary,-67,no,other,may,1,no
cus_118,59,management,divorced,tertiary,262,no,other,may,1,no
cus_119,57,technician,married,primary,0,no,other,may,1,no
cus_120,56,technician,divorced,unknown,56,no,other,may,1,no
cus_121,51,blue-collar,married,secondary,26,no,other,may,1,no
cus_122,34,admin.,married,unknown,3,no,other,may,3,no
cus_123,43,services,married,secondary,41,yes,other,may,2,no
cus_124,52,technician,married,tertiary,7,yes,other,may,1,no
cus_125,33,technician,single,secondary,105,no,other,may,2,no
cus_126,29,admin.,single,secondary,818,yes,other,may,1,no
cus_127,34,services,married,secondary,-16,yes,other,may,1,no
cus_128,31,blue-collar,married,secondary,0,no,other,may,1,no
cus_129,55,services,married,secondary,2476,no,other,may,1,yes
